"proj","Alt","month","CY","WY","Date.monCY","Season","Inflow.Q.m3","Outflow.Q.m3","mean.vol.km3","WRT.yr","mean.depth.m","mean.delta.min","mean.STG"
"LOCAR","ECB23L",6,1970,1970,1970-06-01,"Summer",87337163.6171136,110330138.550638,4.97617223560041,3.75854707590203,2.80622844870132,4.04067722875893,15.5406772287589
"LOCAR","ECB23L",6,1977,1977,1977-06-01,"Summer",53661995.0501938,63824548.0964689,2.56171089259713,3.34473042243503,1.90270570099245,0,10.418305928705
"LOCAR","ECB23L",6,1976,1976,1976-06-01,"Summer",329774262.5794,48437592.8142738,2.82254908308396,4.85598911763049,2.03988726589551,0,11.0448419036464
"LOCAR","ECB23L",6,1984,1984,1984-06-01,"Summer",172088148.952973,125716725.006969,5.17888804300118,3.43290841818786,2.90770038827476,4.41482283209116,15.9148228320912
"LOCAR","ECB23L",6,1974,1974,1974-06-01,"Summer",229092724.595436,15291231.5445422,1.91933070288344,10.4598654970583,1.57320201850756,0,8.78247414352764
"LOCAR","ECB23L",6,1993,1993,1993-06-01,"Summer",59251912.17728,198286100.455955,4.81135189718992,2.02205797839851,2.7293431028219,3.73447426986535,15.2344742698654
"LOCAR","ECB23L",6,1981,1981,1981-06-01,"Summer",9158722.37588842,65033297.7292375,2.23576923845708,2.86490320666906,1.72006246452899,0,9.60999208742121
"LOCAR","ECB23L",6,1971,1971,1971-06-01,"Summer",108499290.539203,75642476.9774548,2.53244198110863,2.78992492302905,1.88685588656904,0,10.3470901728646
"LOCAR","ECB23L",6,1990,1990,1990-06-01,"Summer",71306622.4713262,37323552.5156806,2.26912576090742,5.06634017031226,1.73821165894296,0,9.6943125153522
"LOCAR","ECB23L",6,1978,1978,1978-06-01,"Summer",121707987.129102,59664002.2475381,3.25002367683839,4.53934191808888,2.25162894811523,0.537838305225312,12.0378383052253
"LOCAR","ECB23L",6,1968,1968,1968-06-01,"Summer",795545778.629508,24440025.9276335,3.42803070188384,11.688581100644,2.3096522130179,0.989025294659853,12.4203046262763
"LOCAR","ECB23L",6,1967,1967,1967-06-01,"Summer",100438839.717178,67454894.7472898,3.08240390693753,3.80798151427128,2.17095638938266,0.153759410207944,11.6537594102079
"LOCAR","ECB23L",6,1966,1966,1966-06-01,"Summer",346748191.50122,24259662.4840317,4.24657588391978,14.5872319490395,2.5384201102218,2.66166032751837,14.1616603275184
"LOCAR","ECB23L",6,1985,1985,1985-06-01,"Summer",27344332.3317804,193892318.764752,3.37710898795968,1.45145383163987,2.30946925756842,0.82442789442891,12.3244278944289
"LOCAR","ECB23L",6,1975,1975,1975-06-01,"Summer",90382446.1149085,61540597.8023585,3.03115059331591,4.10454060890915,2.14575952900409,0.0354505405919063,11.5350817711514
"LOCAR","ECB23L",6,1994,1994,1994-06-01,"Summer",265302531.403643,36368807.9758522,4.38454512893988,10.0464871157611,2.56875085209098,2.93004500627793,14.4300450062779
"LOCAR","ECB23L",6,1965,1965,1965-06-01,"Summer",92998044.8418826,134167249.040603,3.2118263808274,1.99491455862887,2.23303559420264,0.449969772161551,11.9499697721616
"LOCAR","ECB23L",6,1992,1992,1992-06-01,"Summer",284021119.018762,50914126.3853475,3.60505306184223,5.90054489422233,2.39642167271933,1.32624012471898,12.826240124719
"LOCAR","ECB23L",6,1972,1972,1972-06-01,"Summer",267849823.963097,71118757.6020371,2.97272672166462,3.48328957307726,2.11568134056817,0.109427266802381,11.3969025565382
"LOCAR","ECB23L",6,1991,1991,1991-06-01,"Summer",186331114.628912,60739762.7166644,3.32333658462416,4.55952909591076,2.28567669446105,0.703860161631408,12.2038601616314
"LOCAR","ECB23L",6,2001,2001,2001-06-01,"Summer",69084675.6764893,31791776.8170299,2.22631311253573,5.83566290676556,1.71413670807392,0,9.5865192620168
"LOCAR","ECB23L",6,1989,1989,1989-06-01,"Summer",27463930.6435574,211222835.949704,2.61964716489704,1.03352428456206,1.93316728386669,0,10.5579577702701
"LOCAR","ECB23L",6,1969,1969,1969-06-01,"Summer",236121522.837259,87529534.8600983,4.99299779652219,4.75363144994685,2.81471263041988,4.07170884784827,15.5717088478483
"LOCAR","ECB23L",6,1988,1988,1988-06-01,"Summer",58526154.292547,79928564.4787785,3.85482027562608,4.01902655281805,2.47671600914603,1.86695378540806,13.3669537854081
"LOCAR","ECB23L",6,1987,1987,1987-06-01,"Summer",42041406.4291399,165814764.234233,3.58703922366046,1.80273413338983,2.39587386747247,1.29026273640377,12.7902627364038
"LOCAR","ECB23L",6,1986,1986,1986-06-01,"Summer",149599371.91439,43503584.0630669,3.25373820120194,6.23270141851036,2.25225081841586,0.54464383595868,12.0446438359587
"LOCAR","ECB23L",6,1996,1996,1996-06-01,"Summer",239339243.176004,307370972.709709,5.3094912921595,1.43949054063029,2.97501886344444,4.65514802211775,16.1551480221178
"LOCAR","ECB23L",6,1995,1995,1995-06-01,"Summer",106826757.231764,161701991.923206,4.76791739914921,2.45715247662375,2.70855131476956,3.65396692782847,15.1539669278285
"LOCAR","ECB23L",6,2005,2005,2005-06-01,"Summer",966470658.304198,635349353.684777,5.44024119378086,0.713549844956636,3.04417095638259,4.89502986879208,16.3950298687921
"LOCAR","ECB23L",6,2004,2004,2004-06-01,"Summer",47466941.5112101,111625119.175056,3.31804188902078,2.47707230052857,2.28326904404685,0.691943537686265,12.1919435376863
"LOCAR","ECB23L",6,2003,2003,2003-06-01,"Summer",281212325.520139,129956662.100995,4.45992723851311,2.85988111113991,2.5897188312463,3.07449342788092,14.5744934278809
"LOCAR","ECB23L",6,2002,2002,2002-06-01,"Summer",261649861.292954,59101595.803508,2.60880596605705,3.6784200868992,1.92661656888112,0,10.529836598974
"LOCAR","ECB23L",6,2012,2012,2012-06-01,"Summer",78010725.5839445,67979497.2766947,3.09243858228995,3.79089616008645,2.17587886939799,0.176966573599331,11.6769665735993
"LOCAR","ECB23L",6,1998,1998,1998-06-01,"Summer",29673463.1908686,324484411.253906,4.52319243236256,1.16163578163986,2.61601547871301,3.19287471920473,14.6928747192047
"LOCAR","ECB23L",6,2000,2000,2000-06-01,"Summer",4986591.19300494,213860183.629145,3.94475778434671,1.53712490929249,2.4907308894085,2.05302633419643,13.5530263341964
"LOCAR","ECB23L",6,1999,1999,1999-06-01,"Summer",175519816.513689,50606550.8811785,3.93924963353129,6.48672547483105,2.48918609307899,2.04039682508997,13.54039682509
"LOCAR","ECB23L",6,2009,2009,2009-06-01,"Summer",259430795.973508,98302547.1354645,3.19388275778527,2.7075279760079,2.22471000737117,0.409580751961166,11.9095807519612
"LOCAR","ECB23L",6,2016,2016,2016-06-01,"Summer",431513934.067455,402326801.748178,5.30898530749335,1.09964198350382,2.97478382493249,4.65420565055329,16.1542056505533
"LOCAR","ECB23L",6,1997,1997,1997-06-01,"Summer",121460859.904113,55131057.1127362,3.9762193075127,6.01025313702616,2.49692507708347,2.11943101847948,13.6194310184795
"LOCAR","ECB23L",6,2007,2007,2007-06-01,"Summer",65501080.7448917,27523951.837327,2.08051552902875,6.299106142549,1.64075499827821,0,9.21413449397461
"LOCAR","ECB23L",6,2006,2006,2006-06-01,"Summer",7457639.78142426,199069785.892837,3.70071338498011,1.5491692056558,2.43151081286895,1.53588367840504,13.035883678405
"LOCAR","ECB23L",6,2015,2015,2015-06-01,"Summer",63194615.2141696,220609141.678791,4.43944508505046,1.67696476343757,2.58365980206136,3.03532188926468,14.5353218892647
"LOCAR","ECB23L",6,2014,2014,2014-06-01,"Summer",160652675.976553,102660186.939645,4.5737134298012,3.71266405389311,2.62904771959708,3.28978627094224,14.7897862709422
